_id,FinancialYear,HBR,HBRQF,AgeGroup,Sex,Dataset,DatasetQF,DischargeCount,DischargeCountQF,DischargeRates,DischargeRatesQF,PatientsCount,PatientCountQF,PatientsRates,PatientRatesQF
147,2011/12,S92000003,d,40-64 years,Male,Total,d,8700, ,963.28, ,5330, ,590.15, 
148,2011/12,S92000003,d,40-64 years,Female,Total,d,5710, ,602.98, ,3720, ,392.83, 
149,2011/12,S92000003,d,65plus years,Male,Total,d,4820, ,1245.29, ,3110, ,803.5, 
150,2011/12,S92000003,d,65plus years,Female,Total,d,6290, ,1235.01, ,4070, ,799.13, 
151,2012/13,S92000003,d,0-17 years,Male,Total,d,350, ,65.83, ,260, ,48.9, 
152,2012/13,S92000003,d,0-17 years,Female,Total,d,500, ,98.72, ,380, ,75.02, 
153,2012/13,S92000003,d,18-24 years,Male,Total,d,1220, ,483.52, ,850, ,336.88, 
154,2012/13,S92000003,d,18-24 years,Female,Total,d,960, ,379.85, ,630, ,249.28, 
155,2012/13,S92000003,d,25-39 years,Male,Total,d,4520, ,918.06, ,2860, ,580.89, 
156,2012/13,S92000003,d,25-39 years,Female,Total,d,3090, ,605.98, ,2010, ,394.18, 
157,2012/13,S92000003,d,40-64 years,Male,Total,d,8380, ,933.21, ,5280, ,587.99, 
158,2012/13,S92000003,d,40-64 years,Female,Total,d,5710, ,604.63, ,3660, ,387.55, 
159,2012/13,S92000003,d,65plus years,Male,Total,d,5020, ,1245.75, ,3220, ,799.07, 
160,2012/13,S92000003,d,65plus years,Female,Total,d,6530, ,1249.11, ,4170, ,797.67, 
161,2013/14,S92000003,d,0-17 years,Male,Total,d,370, ,69.86, ,290, ,54.75, 
162,2013/14,S92000003,d,0-17 years,Female,Total,d,520, ,102.92, ,380, ,75.21, 
163,2013/14,S92000003,d,18-24 years,Male,Total,d,1180, ,470.29, ,850, ,338.77, 
164,2013/14,S92000003,d,18-24 years,Female,Total,d,1010, ,404.3, ,670, ,268.2, 
165,2013/14,S92000003,d,25-39 years,Male,Total,d,4720, ,953.13, ,2940, ,593.68, 
166,2013/14,S92000003,d,25-39 years,Female,Total,d,3030, ,592.17, ,1880, ,367.42, 
167,2013/14,S92000003,d,40-64 years,Male,Total,d,8780, ,980.32, ,5420, ,605.16, 
168,2013/14,S92000003,d,40-64 years,Female,Total,d,5910, ,626.97, ,3720, ,394.64, 
169,2013/14,S92000003,d,65plus years,Male,Total,d,5350, ,1288.33, ,3290, ,792.26, 
170,2013/14,S92000003,d,65plus years,Female,Total,d,6760, ,1271.56, ,4040, ,759.93, 
171,2014/15,S92000003,d,0-17 years,Male,Total,d,350, ,66.27, ,280, ,53.01, 
172,2014/15,S92000003,d,0-17 years,Female,Total,d,530, ,105.05, ,380, ,75.32, 
173,2014/15,S92000003,d,18-24 years,Male,Total,d,1170, ,469.73, ,810, ,325.2, 
