_id,FinancialYear,HBR,HBRQF,AgeGroup,Sex,Dataset,DatasetQF,DischargeCount,DischargeCountQF,DischargeRates,DischargeRatesQF,PatientsCount,PatientCountQF,PatientsRates,PatientRatesQF
1,1997/98,S92000003,d,0-17 years,Male,Total,d,780, ,133.93, ,700, ,120.19, 
2,1997/98,S92000003,d,0-17 years,Female,Total,d,710, ,127.25, ,610, ,109.33, 
3,1997/98,S92000003,d,18-24 years,Male,Total,d,2020, ,913.05, ,1360, ,614.73, 
4,1997/98,S92000003,d,18-24 years,Female,Total,d,1310, ,589.16, ,860, ,386.78, 
5,1997/98,S92000003,d,25-39 years,Male,Total,d,6450, ,1123.62, ,4240, ,738.63, 
6,1997/98,S92000003,d,25-39 years,Female,Total,d,4900, ,817.63, ,3060, ,510.6, 
7,1997/98,S92000003,d,40-64 years,Male,Total,d,7280, ,968.46, ,4930, ,655.84, 
8,1997/98,S92000003,d,40-64 years,Female,Total,d,5390, ,686.33, ,3650, ,464.77, 
9,1997/98,S92000003,d,65plus years,Male,Total,d,5080, ,1623.35, ,3400, ,1086.49, 
10,1997/98,S92000003,d,65plus years,Female,Total,d,7860, ,1650.94, ,5570, ,1169.94, 
11,1998/99,S92000003,d,0-17 years,Male,Total,d,780, ,134.98, ,700, ,121.13, 
12,1998/99,S92000003,d,0-17 years,Female,Total,d,720, ,130.22, ,580, ,104.9, 
13,1998/99,S92000003,d,18-24 years,Male,Total,d,1900, ,871.51, ,1300, ,596.3, 
14,1998/99,S92000003,d,18-24 years,Female,Total,d,1360, ,619.8, ,890, ,405.6, 
15,1998/99,S92000003,d,25-39 years,Male,Total,d,6520, ,1151.78, ,4260, ,752.54, 
16,1998/99,S92000003,d,25-39 years,Female,Total,d,4900, ,825.13, ,3140, ,528.75, 
17,1998/99,S92000003,d,40-64 years,Male,Total,d,7160, ,940.53, ,4880, ,641.03, 
18,1998/99,S92000003,d,40-64 years,Female,Total,d,5480, ,689.26, ,3750, ,471.67, 
19,1998/99,S92000003,d,65plus years,Male,Total,d,5180, ,1640.55, ,3520, ,1114.82, 
20,1998/99,S92000003,d,65plus years,Female,Total,d,7900, ,1656.77, ,5590, ,1172.32, 
21,1999/00,S92000003,d,0-17 years,Male,Total,d,740, ,129.34, ,660, ,115.36, 
22,1999/00,S92000003,d,0-17 years,Female,Total,d,660, ,120.6, ,560, ,102.33, 
23,1999/00,S92000003,d,18-24 years,Male,Total,d,2120, ,968.26, ,1470, ,671.39, 
24,1999/00,S92000003,d,18-24 years,Female,Total,d,1250, ,567.91, ,850, ,386.18, 
25,1999/00,S92000003,d,25-39 years,Male,Total,d,6580, ,1184.05, ,4200, ,755.78, 
26,1999/00,S92000003,d,25-39 years,Female,Total,d,4480, ,764.63, ,2950, ,503.5, 
27,1999/00,S92000003,d,40-64 years,Male,Total,d,7530, ,976.14, ,5030, ,652.06, 
