_id,FinancialYear,HBT,Dataset,DatasetQF,NumberOfAdmissions,NumberOfDischarges,NumberOfStays,NumberOfPatients,NumberOfHospitalResidents,NumberOfHospitalResidentsQF
1025,2019/20,S08000026,Total,d,100,100,90,80, ,:
1026,2019/20,S08000026,SMR04, ,0,0,0,0,0, 
1027,2019/20,S08000030,Total,d,4060,4120,2970,2410,250, 
1028,2019/20,S08000030,Total,d,2060,2080,1300,1090, ,:
1029,2019/20,S08000030,SMR04, ,2000,2040,1680,1420,250, 
1030,2019/20,S08000028,Total,d,180,190,150,130,10, 
1031,2019/20,S08000028,Total,d,130,130,100,100, ,:
1032,2019/20,S08000028,SMR04, ,50,50,40,40,10, 
1033,2019/20,SB0802,Total,d,100,100,20,80,110, 
1034,2019/20,SB0802,Total,d,0,0,0,0, ,:
1035,2019/20,SB0802,SMR04, ,100,100,20,80,110, 
1036,2020/21,S08000015,Total,d,2330,2300,1700,1440,170, 
1037,2020/21,S08000015,Total,d,1400,1390,910,780, ,:
1038,2020/21,S08000015,SMR04, ,930,920,800,710,170, 
1039,2020/21,S08000016,Total,d,960,950,620,480,40, 
1040,2020/21,S08000016,Total,d,500,500,250,220, ,:
1041,2020/21,S08000016,SMR04, ,460,460,370,270,40, 
1042,2020/21,S08000017,Total,d,1350,1330,1020,600,90, 
1043,2020/21,S08000017,Total,d,680,680,480,270, ,:
1044,2020/21,S08000017,SMR04, ,670,660,540,370,90, 
1045,2020/21,S08000029,Total,d,2950,2900,1880,1500,160, 
1046,2020/21,S08000029,Total,d,1820,1800,1080,920, ,:
1047,2020/21,S08000029,SMR04, ,1120,1100,800,640,160, 
1048,2020/21,S08000019,Total,d,3640,3620,1620,1270,120, 
1049,2020/21,S08000019,Total,d,2280,2270,810,680, ,:
1050,2020/21,S08000019,SMR04, ,1360,1360,810,670,120, 
1051,2020/21,S08000020,Total,d,3370,3340,2670,2040,240, 
1052,2020/21,S08000020,Total,d,1560,1550,1200,990, ,:
1053,2020/21,S08000020,SMR04, ,1820,1790,1470,1110,240, 
1054,2020/21,S08000031,Total,d,16580,16470,8740,6690,810, 
1055,2020/21,S08000031,Total,d,10540,10480,4560,3510, ,:
1056,2020/21,S08000031,SMR04, ,6040,5990,4180,3480,810, 
1057,2020/21,S08000022,Total,d,1990,1970,1240,1080,130, 
1058,2020/21,S08000022,Total,d,1290,1280,730,640, ,:
1059,2020/21,S08000022,SMR04, ,690,690,520,500,130, 
1060,2020/21,S08000032,Total,d,5130,5120,3110,2410,190, 
1061,2020/21,S08000032,Total,d,3690,3670,1840,1480, ,:
1062,2020/21,S08000032,SMR04, ,1440,1450,1270,1000,190, 
1063,2020/21,S08000024,Total,d,8000,7910,4960,3990,510, 
1064,2020/21,S08000024,Total,d,4380,4340,2240,1910, ,:
1065,2020/21,S08000024,SMR04, ,3610,3570,2730,2250,510, 
1066,2020/21,S08000025,Total,d,60,60,50,40,0, 
1067,2020/21,S08000025,Total,d,60,60,50,40, ,:
1068,2020/21,S08000025,SMR04, ,0,0,0,0,0, 
1069,2020/21,S08000026,Total,d,70,70,60,60,0, 
1070,2020/21,S08000026,Total,d,70,70,60,60, ,:
1071,2020/21,S08000026,SMR04, ,0,0,0,0,0, 
1072,2020/21,S08000030,Total,d,3580,3530,2600,2100,280, 
1073,2020/21,S08000030,Total,d,1750,1730,1120,950, ,:
1074,2020/21,S08000030,SMR04, ,1820,1800,1480,1260,280, 
1075,2020/21,S08000028,Total,d,150,150,120,100,10, 
1076,2020/21,S08000028,Total,d,80,80,70,60, ,:
1077,2020/21,S08000028,SMR04, ,60,70,50,50,10, 
1078,2020/21,SB0802,Total,d,90,90,20,70,110, 
1079,2020/21,SB0802,Total,d,0,0,0,0, ,:
1080,2020/21,SB0802,SMR04, ,90,90,20,70,110, 
1081,2021/22,S08000015,Total,d,2140,2160,1580,1350,170, 
1082,2021/22,S08000015,Total,d,1280,1310,850,730, ,:
1083,2021/22,S08000015,SMR04, ,860,850,740,680,170, 
1084,2021/22,S08000016,Total,d,800,810,520,420,40, 
1085,2021/22,S08000016,Total,d,380,380,180,170, ,:
1086,2021/22,S08000016,SMR04, ,430,420,330,270,40, 
1087,2021/22,S08000017,Total,d,1280,1290,980,590,90, 
1088,2021/22,S08000017,Total,d,570,580,430,230, ,:
1089,2021/22,S08000017,SMR04, ,710,710,550,390,90, 
1090,2021/22,S08000029,Total,d,3290,3340,2220,1750,150, 
1091,2021/22,S08000029,Total,d,2040,2090,1260,1040, ,:
1092,2021/22,S08000029,SMR04, ,1240,1260,960,770,150, 
1093,2021/22,S08000019,Total,d,3260,3300,1560,1260,110, 
1094,2021/22,S08000019,Total,d,2080,2100,750,640, ,:
1095,2021/22,S08000019,SMR04, ,1180,1190,810,680,110, 
1096,2021/22,S08000020,Total,d,3230,3260,2690,2100,240, 
1097,2021/22,S08000020,Total,d,1630,1650,1320,1070, ,:
1098,2021/22,S08000020,SMR04, ,1600,1610,1370,1100,240, 
1099,2021/22,S08000031,Total,d,15800,15970,8490,6480,750, 
1100,2021/22,S08000031,Total,d,10660,10780,4790,3610, ,:
1101,2021/22,S08000031,SMR04, ,5140,5200,3700,3150,750, 
1102,2021/22,S08000022,Total,d,1860,1860,1220,1020,160, 
1103,2021/22,S08000022,Total,d,1300,1330,800,680, ,:
1104,2021/22,S08000022,SMR04, ,560,520,410,410,160, 
1105,2021/22,S08000032,Total,d,5400,5450,3180,2470,170, 
1106,2021/22,S08000032,Total,d,3900,3940,1870,1500, ,:
1107,2021/22,S08000032,SMR04, ,1500,1510,1320,1060,170, 
1108,2021/22,S08000024,Total,d,8100,8190,4960,3940,500, 
1109,2021/22,S08000024,Total,d,4590,4660,2200,1870, ,:
1110,2021/22,S08000024,SMR04, ,3510,3520,2770,2230,500, 
1111,2021/22,S08000025,Total,d,50,50,50,40,0, 
1112,2021/22,S08000025,Total,d,50,50,50,40, ,:
1113,2021/22,S08000025,SMR04, ,0,0,0,0,0, 
1114,2021/22,S08000026,Total,d,70,70,70,60,0, 
1115,2021/22,S08000026,Total,d,70,70,70,60, ,:
1116,2021/22,S08000026,SMR04, ,0,0,0,0,0, 
1117,2021/22,S08000030,Total,d,3680,3730,2840,2320,250, 
1118,2021/22,S08000030,Total,d,1910,1930,1310,1080, ,:
1119,2021/22,S08000030,SMR04, ,1770,1800,1540,1330,250, 
1120,2021/22,S08000028,Total,d,160,170,140,110,0, 
1121,2021/22,S08000028,Total,d,100,100,80,60, ,:
1122,2021/22,S08000028,SMR04, ,70,70,60,50,0, 
1123,2021/22,SB0802,Total,d,40,30,10,30,120, 
1124,2021/22,SB0802,Total,d,0,0,0,0, ,:
1125,2021/22,SB0802,SMR04, ,40,30,10,30,120, 
