_id,FinancialYear,HBT,HBTQF,Dataset,DatasetQF,LengthOfStay,NumberOfStays
93,1997/98,S08000020, ,SMR01, ,8 - 28 days,190
94,1997/98,S08000020, ,SMR01, ,29 days - 6 months,80
95,1997/98,S08000020, ,SMR01, ,> 6 months,0
96,1997/98,S08000020, ,SMR04, ,< 1 day,40
97,1997/98,S08000020, ,SMR04, ,1 - 7 days,510
98,1997/98,S08000020, ,SMR04, ,8 - 28 days,900
99,1997/98,S08000020, ,SMR04, ,29 days - 6 months,650
100,1997/98,S08000020, ,SMR04, ,> 6 months,170
101,1997/98,S08000020, ,Total,d,< 1 day,190
102,1997/98,S08000020, ,Total,d,1 - 7 days,1000
103,1997/98,S08000020, ,Total,d,8 - 28 days,1090
104,1997/98,S08000020, ,Total,d,29 days - 6 months,730
105,1997/98,S08000020, ,Total,d,> 6 months,170
106,1997/98,S08000031, ,SMR01, ,< 1 day,380
107,1997/98,S08000031, ,SMR01, ,1 - 7 days,1220
108,1997/98,S08000031, ,SMR01, ,8 - 28 days,510
109,1997/98,S08000031, ,SMR01, ,29 days - 6 months,280
110,1997/98,S08000031, ,SMR01, ,> 6 months,50
111,1997/98,S08000031, ,SMR04, ,< 1 day,160
112,1997/98,S08000031, ,SMR04, ,1 - 7 days,1900
113,1997/98,S08000031, ,SMR04, ,8 - 28 days,2850
114,1997/98,S08000031, ,SMR04, ,29 days - 6 months,2290
115,1997/98,S08000031, ,SMR04, ,> 6 months,640
116,1997/98,S08000031, ,Total,d,< 1 day,540
117,1997/98,S08000031, ,Total,d,1 - 7 days,3120
118,1997/98,S08000031, ,Total,d,8 - 28 days,3360
119,1997/98,S08000031, ,Total,d,29 days - 6 months,2570
120,1997/98,S08000031, ,Total,d,> 6 months,690
121,1997/98,S08000022, ,SMR01, ,< 1 day,160
122,1997/98,S08000022, ,SMR01, ,1 - 7 days,490
123,1997/98,S08000022, ,SMR01, ,8 - 28 days,200
124,1997/98,S08000022, ,SMR01, ,29 days - 6 months,70
125,1997/98,S08000022, ,SMR01, ,> 6 months,10
126,1997/98,S08000022, ,SMR04, ,< 1 day,30
127,1997/98,S08000022, ,SMR04, ,1 - 7 days,480
128,1997/98,S08000022, ,SMR04, ,8 - 28 days,770
129,1997/98,S08000022, ,SMR04, ,29 days - 6 months,510
130,1997/98,S08000022, ,SMR04, ,> 6 months,110
131,1997/98,S08000022, ,Total,d,< 1 day,190
132,1997/98,S08000022, ,Total,d,1 - 7 days,970
133,1997/98,S08000022, ,Total,d,8 - 28 days,970
134,1997/98,S08000022, ,Total,d,29 days - 6 months,580
135,1997/98,S08000022, ,Total,d,> 6 months,120
136,1997/98,S08000032, ,SMR01, ,< 1 day,130
137,1997/98,S08000032, ,SMR01, ,1 - 7 days,330
138,1997/98,S08000032, ,SMR01, ,8 - 28 days,100
139,1997/98,S08000032, ,SMR01, ,29 days - 6 months,70
140,1997/98,S08000032, ,SMR01, ,> 6 months,10
141,1997/98,S08000032, ,SMR04, ,< 1 day,80
142,1997/98,S08000032, ,SMR04, ,1 - 7 days,610
143,1997/98,S08000032, ,SMR04, ,8 - 28 days,890
144,1997/98,S08000032, ,SMR04, ,29 days - 6 months,560
145,1997/98,S08000032, ,SMR04, ,> 6 months,150
146,1997/98,S08000032, ,Total,d,< 1 day,210
147,1997/98,S08000032, ,Total,d,1 - 7 days,940
148,1997/98,S08000032, ,Total,d,8 - 28 days,990
149,1997/98,S08000032, ,Total,d,29 days - 6 months,630
150,1997/98,S08000032, ,Total,d,> 6 months,160
151,1997/98,S08000024, ,SMR01, ,< 1 day,210
152,1997/98,S08000024, ,SMR01, ,1 - 7 days,470
153,1997/98,S08000024, ,SMR01, ,8 - 28 days,200
154,1997/98,S08000024, ,SMR01, ,29 days - 6 months,110
155,1997/98,S08000024, ,SMR01, ,> 6 months,0
156,1997/98,S08000024, ,SMR04, ,< 1 day,90
157,1997/98,S08000024, ,SMR04, ,1 - 7 days,1390
158,1997/98,S08000024, ,SMR04, ,8 - 28 days,2110
159,1997/98,S08000024, ,SMR04, ,29 days - 6 months,1280
160,1997/98,S08000024, ,SMR04, ,> 6 months,290
161,1997/98,S08000024, ,Total,d,< 1 day,300
162,1997/98,S08000024, ,Total,d,1 - 7 days,1860
163,1997/98,S08000024, ,Total,d,8 - 28 days,2300
164,1997/98,S08000024, ,Total,d,29 days - 6 months,1390
165,1997/98,S08000024, ,Total,d,> 6 months,290
166,1997/98,S08000025, ,SMR01, ,< 1 day,20
167,1997/98,S08000025, ,SMR01, ,1 - 7 days,30
168,1997/98,S08000025, ,SMR01, ,8 - 28 days,10
169,1997/98,S08000025, ,SMR01, ,29 days - 6 months,0
170,1997/98,S08000025, ,SMR01, ,> 6 months,0
171,1997/98,S08000025, ,SMR04, ,< 1 day,0
172,1997/98,S08000025, ,SMR04, ,1 - 7 days,0
173,1997/98,S08000025, ,SMR04, ,8 - 28 days,0
174,1997/98,S08000025, ,SMR04, ,29 days - 6 months,0
175,1997/98,S08000025, ,SMR04, ,> 6 months,0
176,1997/98,S08000025, ,Total,d,< 1 day,20
177,1997/98,S08000025, ,Total,d,1 - 7 days,30
178,1997/98,S08000025, ,Total,d,8 - 28 days,10
179,1997/98,S08000025, ,Total,d,29 days - 6 months,0
180,1997/98,S08000025, ,Total,d,> 6 months,0
