_id,FinancialYear,HBT,HBTQF,Dataset,DatasetQF,LengthOfStay,NumberOfStays
1538,2003/04,SB0801, ,SMR04, ,8 - 28 days,0
1539,2003/04,SB0801, ,SMR04, ,29 days - 6 months,0
1540,2003/04,SB0801, ,SMR04, ,> 6 months,0
1541,2003/04,SB0801, ,Total,d,< 1 day,0
1542,2003/04,SB0801, ,Total,d,1 - 7 days,0
1543,2003/04,SB0801, ,Total,d,8 - 28 days,0
1544,2003/04,SB0801, ,Total,d,29 days - 6 months,0
1545,2003/04,SB0801, ,Total,d,> 6 months,0
1546,2003/04,S08000015, ,SMR01, ,< 1 day,220
1547,2003/04,S08000015, ,SMR01, ,1 - 7 days,420
1548,2003/04,S08000015, ,SMR01, ,8 - 28 days,120
1549,2003/04,S08000015, ,SMR01, ,29 days - 6 months,40
1550,2003/04,S08000015, ,SMR01, ,> 6 months,0
1551,2003/04,S08000015, ,SMR04, ,< 1 day,50
1552,2003/04,S08000015, ,SMR04, ,1 - 7 days,530
1553,2003/04,S08000015, ,SMR04, ,8 - 28 days,620
1554,2003/04,S08000015, ,SMR04, ,29 days - 6 months,580
1555,2003/04,S08000015, ,SMR04, ,> 6 months,100
1556,2003/04,S08000015, ,Total,d,< 1 day,270
1557,2003/04,S08000015, ,Total,d,1 - 7 days,950
1558,2003/04,S08000015, ,Total,d,8 - 28 days,730
1559,2003/04,S08000015, ,Total,d,29 days - 6 months,620
1560,2003/04,S08000015, ,Total,d,> 6 months,100
1561,2003/04,S08000016, ,SMR01, ,< 1 day,50
1562,2003/04,S08000016, ,SMR01, ,1 - 7 days,120
1563,2003/04,S08000016, ,SMR01, ,8 - 28 days,60
1564,2003/04,S08000016, ,SMR01, ,29 days - 6 months,30
1565,2003/04,S08000016, ,SMR01, ,> 6 months,0
1566,2003/04,S08000016, ,SMR04, ,< 1 day,10
1567,2003/04,S08000016, ,SMR04, ,1 - 7 days,190
1568,2003/04,S08000016, ,SMR04, ,8 - 28 days,250
1569,2003/04,S08000016, ,SMR04, ,29 days - 6 months,180
1570,2003/04,S08000016, ,SMR04, ,> 6 months,40
1571,2003/04,S08000016, ,Total,d,< 1 day,60
1572,2003/04,S08000016, ,Total,d,1 - 7 days,310
1573,2003/04,S08000016, ,Total,d,8 - 28 days,310
1574,2003/04,S08000016, ,Total,d,29 days - 6 months,200
1575,2003/04,S08000016, ,Total,d,> 6 months,50
1576,2003/04,S08000017, ,SMR01, ,< 1 day,40
1577,2003/04,S08000017, ,SMR01, ,1 - 7 days,90
1578,2003/04,S08000017, ,SMR01, ,8 - 28 days,40
1579,2003/04,S08000017, ,SMR01, ,29 days - 6 months,10
1580,2003/04,S08000017, ,SMR01, ,> 6 months,0
1581,2003/04,S08000017, ,SMR04, ,< 1 day,20
1582,2003/04,S08000017, ,SMR04, ,1 - 7 days,220
1583,2003/04,S08000017, ,SMR04, ,8 - 28 days,200
1584,2003/04,S08000017, ,SMR04, ,29 days - 6 months,230
1585,2003/04,S08000017, ,SMR04, ,> 6 months,40
1586,2003/04,S08000017, ,Total,d,< 1 day,50
1587,2003/04,S08000017, ,Total,d,1 - 7 days,310
1588,2003/04,S08000017, ,Total,d,8 - 28 days,240
1589,2003/04,S08000017, ,Total,d,29 days - 6 months,240
1590,2003/04,S08000017, ,Total,d,> 6 months,40
1591,2003/04,S08000029, ,SMR01, ,< 1 day,60
1592,2003/04,S08000029, ,SMR01, ,1 - 7 days,120
1593,2003/04,S08000029, ,SMR01, ,8 - 28 days,40
1594,2003/04,S08000029, ,SMR01, ,29 days - 6 months,40
1595,2003/04,S08000029, ,SMR01, ,> 6 months,0
1596,2003/04,S08000029, ,SMR04, ,< 1 day,30
1597,2003/04,S08000029, ,SMR04, ,1 - 7 days,470
1598,2003/04,S08000029, ,SMR04, ,8 - 28 days,550
1599,2003/04,S08000029, ,SMR04, ,29 days - 6 months,420
1600,2003/04,S08000029, ,SMR04, ,> 6 months,90
1601,2003/04,S08000029, ,Total,d,< 1 day,80
1602,2003/04,S08000029, ,Total,d,1 - 7 days,590
1603,2003/04,S08000029, ,Total,d,8 - 28 days,580
1604,2003/04,S08000029, ,Total,d,29 days - 6 months,460
1605,2003/04,S08000029, ,Total,d,> 6 months,100
1606,2003/04,S08000019, ,SMR01, ,< 1 day,40
1607,2003/04,S08000019, ,SMR01, ,1 - 7 days,180
1608,2003/04,S08000019, ,SMR01, ,8 - 28 days,50
1609,2003/04,S08000019, ,SMR01, ,29 days - 6 months,40
1610,2003/04,S08000019, ,SMR01, ,> 6 months,0
1611,2003/04,S08000019, ,SMR04, ,< 1 day,70
1612,2003/04,S08000019, ,SMR04, ,1 - 7 days,230
1613,2003/04,S08000019, ,SMR04, ,8 - 28 days,380
1614,2003/04,S08000019, ,SMR04, ,29 days - 6 months,370
1615,2003/04,S08000019, ,SMR04, ,> 6 months,90
1616,2003/04,S08000019, ,Total,d,< 1 day,110
1617,2003/04,S08000019, ,Total,d,1 - 7 days,410
1618,2003/04,S08000019, ,Total,d,8 - 28 days,430
1619,2003/04,S08000019, ,Total,d,29 days - 6 months,410
1620,2003/04,S08000019, ,Total,d,> 6 months,90
1621,2003/04,S08000020, ,SMR01, ,< 1 day,120
1622,2003/04,S08000020, ,SMR01, ,1 - 7 days,410
1623,2003/04,S08000020, ,SMR01, ,8 - 28 days,180
1624,2003/04,S08000020, ,SMR01, ,29 days - 6 months,110
1625,2003/04,S08000020, ,SMR01, ,> 6 months,0
1626,2003/04,S08000020, ,SMR04, ,< 1 day,30
1627,2003/04,S08000020, ,SMR04, ,1 - 7 days,520
1628,2003/04,S08000020, ,SMR04, ,8 - 28 days,690
1629,2003/04,S08000020, ,SMR04, ,29 days - 6 months,660
1630,2003/04,S08000020, ,SMR04, ,> 6 months,190
1631,2003/04,S08000020, ,Total,d,< 1 day,150
1632,2003/04,S08000020, ,Total,d,1 - 7 days,940
1633,2003/04,S08000020, ,Total,d,8 - 28 days,870
1634,2003/04,S08000020, ,Total,d,29 days - 6 months,770
1635,2003/04,S08000020, ,Total,d,> 6 months,200
1636,2003/04,S08000031, ,SMR01, ,< 1 day,340
1637,2003/04,S08000031, ,SMR01, ,1 - 7 days,1260
1638,2003/04,S08000031, ,SMR01, ,8 - 28 days,500
1639,2003/04,S08000031, ,SMR01, ,29 days - 6 months,330
1640,2003/04,S08000031, ,SMR01, ,> 6 months,20
1641,2003/04,S08000031, ,SMR04, ,< 1 day,80
1642,2003/04,S08000031, ,SMR04, ,1 - 7 days,1500
1643,2003/04,S08000031, ,SMR04, ,8 - 28 days,2220
1644,2003/04,S08000031, ,SMR04, ,29 days - 6 months,1960
1645,2003/04,S08000031, ,SMR04, ,> 6 months,550
1646,2003/04,S08000031, ,Total,d,< 1 day,420
1647,2003/04,S08000031, ,Total,d,1 - 7 days,2760
1648,2003/04,S08000031, ,Total,d,8 - 28 days,2730
1649,2003/04,S08000031, ,Total,d,29 days - 6 months,2300
1650,2003/04,S08000031, ,Total,d,> 6 months,570
1651,2003/04,S08000022, ,SMR01, ,< 1 day,180
1652,2003/04,S08000022, ,SMR01, ,1 - 7 days,480
1653,2003/04,S08000022, ,SMR01, ,8 - 28 days,140
1654,2003/04,S08000022, ,SMR01, ,29 days - 6 months,80
1655,2003/04,S08000022, ,SMR01, ,> 6 months,20
1656,2003/04,S08000022, ,SMR04, ,< 1 day,30
1657,2003/04,S08000022, ,SMR04, ,1 - 7 days,540
1658,2003/04,S08000022, ,SMR04, ,8 - 28 days,660
1659,2003/04,S08000022, ,SMR04, ,29 days - 6 months,450
1660,2003/04,S08000022, ,SMR04, ,> 6 months,110
1661,2003/04,S08000022, ,Total,d,< 1 day,210
1662,2003/04,S08000022, ,Total,d,1 - 7 days,1020
1663,2003/04,S08000022, ,Total,d,8 - 28 days,800
1664,2003/04,S08000022, ,Total,d,29 days - 6 months,530
1665,2003/04,S08000022, ,Total,d,> 6 months,120
1666,2003/04,S08000032, ,SMR01, ,< 1 day,150
1667,2003/04,S08000032, ,SMR01, ,1 - 7 days,450
1668,2003/04,S08000032, ,SMR01, ,8 - 28 days,130
1669,2003/04,S08000032, ,SMR01, ,29 days - 6 months,70
1670,2003/04,S08000032, ,SMR01, ,> 6 months,10
1671,2003/04,S08000032, ,SMR04, ,< 1 day,50
1672,2003/04,S08000032, ,SMR04, ,1 - 7 days,620
1673,2003/04,S08000032, ,SMR04, ,8 - 28 days,940
1674,2003/04,S08000032, ,SMR04, ,29 days - 6 months,750
1675,2003/04,S08000032, ,SMR04, ,> 6 months,120
1676,2003/04,S08000032, ,Total,d,< 1 day,200
1677,2003/04,S08000032, ,Total,d,1 - 7 days,1060
1678,2003/04,S08000032, ,Total,d,8 - 28 days,1060
1679,2003/04,S08000032, ,Total,d,29 days - 6 months,820
1680,2003/04,S08000032, ,Total,d,> 6 months,130
1681,2003/04,S08000024, ,SMR01, ,< 1 day,240
1682,2003/04,S08000024, ,SMR01, ,1 - 7 days,520
1683,2003/04,S08000024, ,SMR01, ,8 - 28 days,200
1684,2003/04,S08000024, ,SMR01, ,29 days - 6 months,180
1685,2003/04,S08000024, ,SMR01, ,> 6 months,0
1686,2003/04,S08000024, ,SMR04, ,< 1 day,70
1687,2003/04,S08000024, ,SMR04, ,1 - 7 days,1010
1688,2003/04,S08000024, ,SMR04, ,8 - 28 days,1580
1689,2003/04,S08000024, ,SMR04, ,29 days - 6 months,1170
1690,2003/04,S08000024, ,SMR04, ,> 6 months,290
1691,2003/04,S08000024, ,Total,d,< 1 day,310
1692,2003/04,S08000024, ,Total,d,1 - 7 days,1530
1693,2003/04,S08000024, ,Total,d,8 - 28 days,1780
1694,2003/04,S08000024, ,Total,d,29 days - 6 months,1350
1695,2003/04,S08000024, ,Total,d,> 6 months,290
1696,2003/04,S08000025, ,SMR01, ,< 1 day,30
1697,2003/04,S08000025, ,SMR01, ,1 - 7 days,40
1698,2003/04,S08000025, ,SMR01, ,8 - 28 days,0
1699,2003/04,S08000025, ,SMR01, ,29 days - 6 months,10
1700,2003/04,S08000025, ,SMR01, ,> 6 months,0
1701,2003/04,S08000025, ,SMR04, ,< 1 day,0
1702,2003/04,S08000025, ,SMR04, ,1 - 7 days,0
1703,2003/04,S08000025, ,SMR04, ,8 - 28 days,0
1704,2003/04,S08000025, ,SMR04, ,29 days - 6 months,0
1705,2003/04,S08000025, ,SMR04, ,> 6 months,0
1706,2003/04,S08000025, ,Total,d,< 1 day,30
1707,2003/04,S08000025, ,Total,d,1 - 7 days,40
1708,2003/04,S08000025, ,Total,d,8 - 28 days,0
1709,2003/04,S08000025, ,Total,d,29 days - 6 months,10
1710,2003/04,S08000025, ,Total,d,> 6 months,0
1711,2003/04,S08000026, ,SMR01, ,< 1 day,40
1712,2003/04,S08000026, ,SMR01, ,1 - 7 days,40
1713,2003/04,S08000026, ,SMR01, ,8 - 28 days,0
1714,2003/04,S08000026, ,SMR01, ,29 days - 6 months,0
1715,2003/04,S08000026, ,SMR01, ,> 6 months,0
1716,2003/04,S08000026, ,SMR04, ,< 1 day,0
1717,2003/04,S08000026, ,SMR04, ,1 - 7 days,0
1718,2003/04,S08000026, ,SMR04, ,8 - 28 days,0
1719,2003/04,S08000026, ,SMR04, ,29 days - 6 months,0
1720,2003/04,S08000026, ,SMR04, ,> 6 months,0
1721,2003/04,S08000026, ,Total,d,< 1 day,40
1722,2003/04,S08000026, ,Total,d,1 - 7 days,40
1723,2003/04,S08000026, ,Total,d,8 - 28 days,0
1724,2003/04,S08000026, ,Total,d,29 days - 6 months,0
1725,2003/04,S08000026, ,Total,d,> 6 months,0
1726,2003/04,S08000030, ,SMR01, ,< 1 day,140
1727,2003/04,S08000030, ,SMR01, ,1 - 7 days,210
1728,2003/04,S08000030, ,SMR01, ,8 - 28 days,90
1729,2003/04,S08000030, ,SMR01, ,29 days - 6 months,70
1730,2003/04,S08000030, ,SMR01, ,> 6 months,10
1731,2003/04,S08000030, ,SMR04, ,< 1 day,40
1732,2003/04,S08000030, ,SMR04, ,1 - 7 days,580
1733,2003/04,S08000030, ,SMR04, ,8 - 28 days,680
1734,2003/04,S08000030, ,SMR04, ,29 days - 6 months,640
1735,2003/04,S08000030, ,SMR04, ,> 6 months,170
1736,2003/04,S08000030, ,Total,d,< 1 day,180
1737,2003/04,S08000030, ,Total,d,1 - 7 days,790
1738,2003/04,S08000030, ,Total,d,8 - 28 days,770
1739,2003/04,S08000030, ,Total,d,29 days - 6 months,710
1740,2003/04,S08000030, ,Total,d,> 6 months,190
1741,2003/04,S08000028, ,SMR01, ,< 1 day,40
1742,2003/04,S08000028, ,SMR01, ,1 - 7 days,100
1743,2003/04,S08000028, ,SMR01, ,8 - 28 days,60
1744,2003/04,S08000028, ,SMR01, ,29 days - 6 months,0
1745,2003/04,S08000028, ,SMR01, ,> 6 months,0
1746,2003/04,S08000028, ,SMR04, ,< 1 day,0
1747,2003/04,S08000028, ,SMR04, ,1 - 7 days,30
1748,2003/04,S08000028, ,SMR04, ,8 - 28 days,100
1749,2003/04,S08000028, ,SMR04, ,29 days - 6 months,40
1750,2003/04,S08000028, ,SMR04, ,> 6 months,10
1751,2003/04,S08000028, ,Total,d,< 1 day,40
1752,2003/04,S08000028, ,Total,d,1 - 7 days,130
1753,2003/04,S08000028, ,Total,d,8 - 28 days,160
1754,2003/04,S08000028, ,Total,d,29 days - 6 months,40
1755,2003/04,S08000028, ,Total,d,> 6 months,10
1756,2003/04,SB0802, ,SMR01, ,< 1 day,0
1757,2003/04,SB0802, ,SMR01, ,1 - 7 days,0
1758,2003/04,SB0802, ,SMR01, ,8 - 28 days,0
1759,2003/04,SB0802, ,SMR01, ,29 days - 6 months,0
1760,2003/04,SB0802, ,SMR01, ,> 6 months,0
1761,2003/04,SB0802, ,SMR04, ,< 1 day,0
1762,2003/04,SB0802, ,SMR04, ,1 - 7 days,0
1763,2003/04,SB0802, ,SMR04, ,8 - 28 days,0
1764,2003/04,SB0802, ,SMR04, ,29 days - 6 months,20
1765,2003/04,SB0802, ,SMR04, ,> 6 months,20
1766,2003/04,SB0802, ,Total,d,< 1 day,0
1767,2003/04,SB0802, ,Total,d,1 - 7 days,0
1768,2003/04,SB0802, ,Total,d,8 - 28 days,0
1769,2003/04,SB0802, ,Total,d,29 days - 6 months,20
1770,2003/04,SB0802, ,Total,d,> 6 months,20
1771,2003/04,S92000003,d,SMR01, ,< 1 day,1680
1772,2003/04,S92000003,d,SMR01, ,1 - 7 days,4440
1773,2003/04,S92000003,d,SMR01, ,8 - 28 days,1630
1774,2003/04,S92000003,d,SMR01, ,29 days - 6 months,1010
1775,2003/04,S92000003,d,SMR01, ,> 6 months,70
1776,2003/04,S92000003,d,SMR04, ,< 1 day,480
1777,2003/04,S92000003,d,SMR04, ,1 - 7 days,6450
1778,2003/04,S92000003,d,SMR04, ,8 - 28 days,8870
1779,2003/04,S92000003,d,SMR04, ,29 days - 6 months,7470
1780,2003/04,S92000003,d,SMR04, ,> 6 months,1830
1781,2003/04,S92000003,d,Total,d,< 1 day,2160
1782,2003/04,S92000003,d,Total,d,1 - 7 days,10880
1783,2003/04,S92000003,d,Total,d,8 - 28 days,10490
1784,2003/04,S92000003,d,Total,d,29 days - 6 months,8470
1785,2003/04,S92000003,d,Total,d,> 6 months,1910
1786,2004/05,SB0801, ,SMR01, ,< 1 day,0
1787,2004/05,SB0801, ,SMR01, ,1 - 7 days,0
1788,2004/05,SB0801, ,SMR01, ,8 - 28 days,0
1789,2004/05,SB0801, ,SMR01, ,29 days - 6 months,0
1790,2004/05,SB0801, ,SMR01, ,> 6 months,0
1791,2004/05,SB0801, ,SMR04, ,< 1 day,0
1792,2004/05,SB0801, ,SMR04, ,1 - 7 days,0
1793,2004/05,SB0801, ,SMR04, ,8 - 28 days,0
1794,2004/05,SB0801, ,SMR04, ,29 days - 6 months,0
1795,2004/05,SB0801, ,SMR04, ,> 6 months,0
1796,2004/05,SB0801, ,Total,d,< 1 day,0
1797,2004/05,SB0801, ,Total,d,1 - 7 days,0
1798,2004/05,SB0801, ,Total,d,8 - 28 days,0
1799,2004/05,SB0801, ,Total,d,29 days - 6 months,0
1800,2004/05,SB0801, ,Total,d,> 6 months,0
1801,2004/05,S08000015, ,SMR01, ,< 1 day,220
1802,2004/05,S08000015, ,SMR01, ,1 - 7 days,460
1803,2004/05,S08000015, ,SMR01, ,8 - 28 days,160
1804,2004/05,S08000015, ,SMR01, ,29 days - 6 months,40
1805,2004/05,S08000015, ,SMR01, ,> 6 months,0
1806,2004/05,S08000015, ,SMR04, ,< 1 day,50
1807,2004/05,S08000015, ,SMR04, ,1 - 7 days,580
1808,2004/05,S08000015, ,SMR04, ,8 - 28 days,610
1809,2004/05,S08000015, ,SMR04, ,29 days - 6 months,560
1810,2004/05,S08000015, ,SMR04, ,> 6 months,100
1811,2004/05,S08000015, ,Total,d,< 1 day,260
1812,2004/05,S08000015, ,Total,d,1 - 7 days,1040
1813,2004/05,S08000015, ,Total,d,8 - 28 days,760
1814,2004/05,S08000015, ,Total,d,29 days - 6 months,590
1815,2004/05,S08000015, ,Total,d,> 6 months,100
1816,2004/05,S08000016, ,SMR01, ,< 1 day,60
1817,2004/05,S08000016, ,SMR01, ,1 - 7 days,120
1818,2004/05,S08000016, ,SMR01, ,8 - 28 days,50
1819,2004/05,S08000016, ,SMR01, ,29 days - 6 months,20
1820,2004/05,S08000016, ,SMR01, ,> 6 months,0
1821,2004/05,S08000016, ,SMR04, ,< 1 day,10
1822,2004/05,S08000016, ,SMR04, ,1 - 7 days,220
1823,2004/05,S08000016, ,SMR04, ,8 - 28 days,260
1824,2004/05,S08000016, ,SMR04, ,29 days - 6 months,150
1825,2004/05,S08000016, ,SMR04, ,> 6 months,50
1826,2004/05,S08000016, ,Total,d,< 1 day,80
1827,2004/05,S08000016, ,Total,d,1 - 7 days,340
1828,2004/05,S08000016, ,Total,d,8 - 28 days,300
1829,2004/05,S08000016, ,Total,d,29 days - 6 months,170
1830,2004/05,S08000016, ,Total,d,> 6 months,50
1831,2004/05,S08000017, ,SMR01, ,< 1 day,30
1832,2004/05,S08000017, ,SMR01, ,1 - 7 days,100
1833,2004/05,S08000017, ,SMR01, ,8 - 28 days,40
1834,2004/05,S08000017, ,SMR01, ,29 days - 6 months,10
1835,2004/05,S08000017, ,SMR01, ,> 6 months,0
1836,2004/05,S08000017, ,SMR04, ,< 1 day,20
1837,2004/05,S08000017, ,SMR04, ,1 - 7 days,200
1838,2004/05,S08000017, ,SMR04, ,8 - 28 days,200
1839,2004/05,S08000017, ,SMR04, ,29 days - 6 months,200
1840,2004/05,S08000017, ,SMR04, ,> 6 months,40
1841,2004/05,S08000017, ,Total,d,< 1 day,60
1842,2004/05,S08000017, ,Total,d,1 - 7 days,300
1843,2004/05,S08000017, ,Total,d,8 - 28 days,240
1844,2004/05,S08000017, ,Total,d,29 days - 6 months,220
1845,2004/05,S08000017, ,Total,d,> 6 months,40
1846,2004/05,S08000029, ,SMR01, ,< 1 day,50
1847,2004/05,S08000029, ,SMR01, ,1 - 7 days,100
1848,2004/05,S08000029, ,SMR01, ,8 - 28 days,50
1849,2004/05,S08000029, ,SMR01, ,29 days - 6 months,30
1850,2004/05,S08000029, ,SMR01, ,> 6 months,0
1851,2004/05,S08000029, ,SMR04, ,< 1 day,40
1852,2004/05,S08000029, ,SMR04, ,1 - 7 days,440
1853,2004/05,S08000029, ,SMR04, ,8 - 28 days,460
1854,2004/05,S08000029, ,SMR04, ,29 days - 6 months,460
1855,2004/05,S08000029, ,SMR04, ,> 6 months,100
1856,2004/05,S08000029, ,Total,d,< 1 day,80
1857,2004/05,S08000029, ,Total,d,1 - 7 days,540
1858,2004/05,S08000029, ,Total,d,8 - 28 days,510
1859,2004/05,S08000029, ,Total,d,29 days - 6 months,490
1860,2004/05,S08000029, ,Total,d,> 6 months,100
1861,2004/05,S08000019, ,SMR01, ,< 1 day,50
1862,2004/05,S08000019, ,SMR01, ,1 - 7 days,160
1863,2004/05,S08000019, ,SMR01, ,8 - 28 days,60
1864,2004/05,S08000019, ,SMR01, ,29 days - 6 months,20
1865,2004/05,S08000019, ,SMR01, ,> 6 months,0
1866,2004/05,S08000019, ,SMR04, ,< 1 day,40
1867,2004/05,S08000019, ,SMR04, ,1 - 7 days,270
1868,2004/05,S08000019, ,SMR04, ,8 - 28 days,340
1869,2004/05,S08000019, ,SMR04, ,29 days - 6 months,370
1870,2004/05,S08000019, ,SMR04, ,> 6 months,90
1871,2004/05,S08000019, ,Total,d,< 1 day,90
1872,2004/05,S08000019, ,Total,d,1 - 7 days,440
1873,2004/05,S08000019, ,Total,d,8 - 28 days,400
1874,2004/05,S08000019, ,Total,d,29 days - 6 months,390
1875,2004/05,S08000019, ,Total,d,> 6 months,90
1876,2004/05,S08000020, ,SMR01, ,< 1 day,100
1877,2004/05,S08000020, ,SMR01, ,1 - 7 days,390
1878,2004/05,S08000020, ,SMR01, ,8 - 28 days,170
1879,2004/05,S08000020, ,SMR01, ,29 days - 6 months,80
1880,2004/05,S08000020, ,SMR01, ,> 6 months,0
1881,2004/05,S08000020, ,SMR04, ,< 1 day,40
1882,2004/05,S08000020, ,SMR04, ,1 - 7 days,460
1883,2004/05,S08000020, ,SMR04, ,8 - 28 days,600
1884,2004/05,S08000020, ,SMR04, ,29 days - 6 months,660
1885,2004/05,S08000020, ,SMR04, ,> 6 months,150
1886,2004/05,S08000020, ,Total,d,< 1 day,140
1887,2004/05,S08000020, ,Total,d,1 - 7 days,860
1888,2004/05,S08000020, ,Total,d,8 - 28 days,770
1889,2004/05,S08000020, ,Total,d,29 days - 6 months,730
1890,2004/05,S08000020, ,Total,d,> 6 months,150
1891,2004/05,S08000031, ,SMR01, ,< 1 day,320
1892,2004/05,S08000031, ,SMR01, ,1 - 7 days,1210
1893,2004/05,S08000031, ,SMR01, ,8 - 28 days,460
1894,2004/05,S08000031, ,SMR01, ,29 days - 6 months,280
1895,2004/05,S08000031, ,SMR01, ,> 6 months,20
1896,2004/05,S08000031, ,SMR04, ,< 1 day,70
1897,2004/05,S08000031, ,SMR04, ,1 - 7 days,1420
1898,2004/05,S08000031, ,SMR04, ,8 - 28 days,2220
1899,2004/05,S08000031, ,SMR04, ,29 days - 6 months,1880
1900,2004/05,S08000031, ,SMR04, ,> 6 months,470
1901,2004/05,S08000031, ,Total,d,< 1 day,390
1902,2004/05,S08000031, ,Total,d,1 - 7 days,2630
1903,2004/05,S08000031, ,Total,d,8 - 28 days,2680
1904,2004/05,S08000031, ,Total,d,29 days - 6 months,2160
1905,2004/05,S08000031, ,Total,d,> 6 months,490
1906,2004/05,S08000022, ,SMR01, ,< 1 day,170
1907,2004/05,S08000022, ,SMR01, ,1 - 7 days,510
1908,2004/05,S08000022, ,SMR01, ,8 - 28 days,140
1909,2004/05,S08000022, ,SMR01, ,29 days - 6 months,70
1910,2004/05,S08000022, ,SMR01, ,> 6 months,20
1911,2004/05,S08000022, ,SMR04, ,< 1 day,20
1912,2004/05,S08000022, ,SMR04, ,1 - 7 days,420
1913,2004/05,S08000022, ,SMR04, ,8 - 28 days,620
1914,2004/05,S08000022, ,SMR04, ,29 days - 6 months,430
1915,2004/05,S08000022, ,SMR04, ,> 6 months,100
1916,2004/05,S08000022, ,Total,d,< 1 day,190
1917,2004/05,S08000022, ,Total,d,1 - 7 days,940
1918,2004/05,S08000022, ,Total,d,8 - 28 days,760
1919,2004/05,S08000022, ,Total,d,29 days - 6 months,500
1920,2004/05,S08000022, ,Total,d,> 6 months,120
1921,2004/05,S08000032, ,SMR01, ,< 1 day,150
1922,2004/05,S08000032, ,SMR01, ,1 - 7 days,440
1923,2004/05,S08000032, ,SMR01, ,8 - 28 days,120
1924,2004/05,S08000032, ,SMR01, ,29 days - 6 months,70
1925,2004/05,S08000032, ,SMR01, ,> 6 months,10
1926,2004/05,S08000032, ,SMR04, ,< 1 day,50
1927,2004/05,S08000032, ,SMR04, ,1 - 7 days,670
1928,2004/05,S08000032, ,SMR04, ,8 - 28 days,930
1929,2004/05,S08000032, ,SMR04, ,29 days - 6 months,770
1930,2004/05,S08000032, ,SMR04, ,> 6 months,150
1931,2004/05,S08000032, ,Total,d,< 1 day,190
1932,2004/05,S08000032, ,Total,d,1 - 7 days,1110
1933,2004/05,S08000032, ,Total,d,8 - 28 days,1050
1934,2004/05,S08000032, ,Total,d,29 days - 6 months,840
1935,2004/05,S08000032, ,Total,d,> 6 months,160
1936,2004/05,S08000024, ,SMR01, ,< 1 day,240
1937,2004/05,S08000024, ,SMR01, ,1 - 7 days,480
1938,2004/05,S08000024, ,SMR01, ,8 - 28 days,170
1939,2004/05,S08000024, ,SMR01, ,29 days - 6 months,170
1940,2004/05,S08000024, ,SMR01, ,> 6 months,10
1941,2004/05,S08000024, ,SMR04, ,< 1 day,80
1942,2004/05,S08000024, ,SMR04, ,1 - 7 days,1160
1943,2004/05,S08000024, ,SMR04, ,8 - 28 days,1500
1944,2004/05,S08000024, ,SMR04, ,29 days - 6 months,1130
1945,2004/05,S08000024, ,SMR04, ,> 6 months,320
1946,2004/05,S08000024, ,Total,d,< 1 day,310
1947,2004/05,S08000024, ,Total,d,1 - 7 days,1640
1948,2004/05,S08000024, ,Total,d,8 - 28 days,1670
1949,2004/05,S08000024, ,Total,d,29 days - 6 months,1300
1950,2004/05,S08000024, ,Total,d,> 6 months,330
1951,2004/05,S08000025, ,SMR01, ,< 1 day,20
1952,2004/05,S08000025, ,SMR01, ,1 - 7 days,50
1953,2004/05,S08000025, ,SMR01, ,8 - 28 days,0
1954,2004/05,S08000025, ,SMR01, ,29 days - 6 months,0
1955,2004/05,S08000025, ,SMR01, ,> 6 months,0
1956,2004/05,S08000025, ,SMR04, ,< 1 day,0
1957,2004/05,S08000025, ,SMR04, ,1 - 7 days,0
1958,2004/05,S08000025, ,SMR04, ,8 - 28 days,0
1959,2004/05,S08000025, ,SMR04, ,29 days - 6 months,0
1960,2004/05,S08000025, ,SMR04, ,> 6 months,0
1961,2004/05,S08000025, ,Total,d,< 1 day,20
1962,2004/05,S08000025, ,Total,d,1 - 7 days,50
1963,2004/05,S08000025, ,Total,d,8 - 28 days,0
1964,2004/05,S08000025, ,Total,d,29 days - 6 months,0
1965,2004/05,S08000025, ,Total,d,> 6 months,0
1966,2004/05,S08000026, ,SMR01, ,< 1 day,30
1967,2004/05,S08000026, ,SMR01, ,1 - 7 days,40
1968,2004/05,S08000026, ,SMR01, ,8 - 28 days,0
1969,2004/05,S08000026, ,SMR01, ,29 days - 6 months,0
1970,2004/05,S08000026, ,SMR01, ,> 6 months,0
1971,2004/05,S08000026, ,SMR04, ,< 1 day,0
1972,2004/05,S08000026, ,SMR04, ,1 - 7 days,0
1973,2004/05,S08000026, ,SMR04, ,8 - 28 days,0
1974,2004/05,S08000026, ,SMR04, ,29 days - 6 months,0
1975,2004/05,S08000026, ,SMR04, ,> 6 months,0
1976,2004/05,S08000026, ,Total,d,< 1 day,30
1977,2004/05,S08000026, ,Total,d,1 - 7 days,40
1978,2004/05,S08000026, ,Total,d,8 - 28 days,0
1979,2004/05,S08000026, ,Total,d,29 days - 6 months,0
1980,2004/05,S08000026, ,Total,d,> 6 months,0
1981,2004/05,S08000030, ,SMR01, ,< 1 day,110
1982,2004/05,S08000030, ,SMR01, ,1 - 7 days,170
1983,2004/05,S08000030, ,SMR01, ,8 - 28 days,100
1984,2004/05,S08000030, ,SMR01, ,29 days - 6 months,80
1985,2004/05,S08000030, ,SMR01, ,> 6 months,0
1986,2004/05,S08000030, ,SMR04, ,< 1 day,30
1987,2004/05,S08000030, ,SMR04, ,1 - 7 days,560
1988,2004/05,S08000030, ,SMR04, ,8 - 28 days,550
1989,2004/05,S08000030, ,SMR04, ,29 days - 6 months,590
