_id,Year,HBR,HBRQF,Sex,SexQF,IndividualsCount
156,2014,S08000022,"",Female,"",19
157,2014,S08000022,"",Both Sexes,d,49
158,2014,S08000023,"",Male,"",55
159,2014,S08000023,"",Female,"",22
160,2014,S08000023,"",Both Sexes,d,77
161,2014,S08000024,"",Male,"",90
162,2014,S08000024,"",Female,"",31
163,2014,S08000024,"",Both Sexes,d,121
164,2014,S08000025,"",Male,"",3
165,2014,S08000025,"",Female,"",2
166,2014,S08000025,"",Both Sexes,d,5
167,2014,S08000026,"",Male,"",1
168,2014,S08000026,"",Both Sexes,d,1
169,2014,S08000027,"",Male,"",30
170,2014,S08000027,"",Female,"",10
171,2014,S08000027,"",Both Sexes,d,40
172,2014,S08000028,"",Male,"",3
173,2014,S08000028,"",Female,"",1
174,2014,S08000028,"",Both Sexes,d,4
175,2014,S92000003,d,Male,d,497
176,2014,S92000003,d,Female,d,199
177,2014,S92000003,d,Both Sexes,d,696
178,2015,S08000015,"",Male,"",38
179,2015,S08000015,"",Female,"",3
180,2015,S08000015,"",Both Sexes,d,41
181,2015,S08000016,"",Male,"",7
182,2015,S08000016,"",Female,"",11
183,2015,S08000016,"",Both Sexes,d,18
184,2015,S08000017,"",Male,"",13
185,2015,S08000017,"",Female,"",1
186,2015,S08000017,"",Both Sexes,d,14
187,2015,S08000018,"",Male,"",30
188,2015,S08000018,"",Female,"",11
189,2015,S08000018,"",Both Sexes,d,41
190,2015,S08000019,"",Male,"",34
191,2015,S08000019,"",Female,"",13
192,2015,S08000019,"",Both Sexes,d,47
193,2015,S08000020,"",Male,"",63
194,2015,S08000020,"",Female,"",30
195,2015,S08000020,"",Both Sexes,d,93
196,2015,S08000021,"",Male,"",85
197,2015,S08000021,"",Female,"",51
198,2015,S08000021,"",Both Sexes,d,136
199,2015,S08000022,"",Male,"",36
200,2015,S08000022,"",Female,"",15
201,2015,S08000022,"",Both Sexes,d,51
202,2015,S08000023,"",Male,"",53
203,2015,S08000023,"",Female,"",19
204,2015,S08000023,"",Both Sexes,d,72
205,2015,S08000024,"",Male,"",72
206,2015,S08000024,"",Female,"",23
207,2015,S08000024,"",Both Sexes,d,95
208,2015,S08000025,"",Male,"",2
209,2015,S08000025,"",Female,"",1
210,2015,S08000025,"",Both Sexes,d,3
211,2015,S08000026,"",Male,"",3
212,2015,S08000026,"",Both Sexes,d,3
213,2015,S08000027,"",Male,"",37
214,2015,S08000027,"",Female,"",17
215,2015,S08000027,"",Both Sexes,d,54
216,2015,S08000028,"",Male,"",3
217,2015,S08000028,"",Female,"",1
218,2015,S08000028,"",Both Sexes,d,4
219,2015,S92000003,d,Male,d,476
220,2015,S92000003,d,Female,d,196
221,2015,S92000003,d,Both Sexes,d,672
222,2016,S08000015,"",Male,"",37
223,2016,S08000015,"",Female,"",10
224,2016,S08000015,"",Both Sexes,d,47
225,2016,S08000016,"",Male,"",8
226,2016,S08000016,"",Female,"",4
227,2016,S08000016,"",Both Sexes,d,12
228,2016,S08000017,"",Male,"",12
229,2016,S08000017,"",Female,"",8
230,2016,S08000017,"",Both Sexes,d,20
231,2016,S08000018,"",Male,"",30
232,2016,S08000018,"",Female,"",13
233,2016,S08000018,"",Both Sexes,d,43
234,2016,S08000019,"",Male,"",40
235,2016,S08000019,"",Female,"",19
236,2016,S08000019,"",Both Sexes,d,59
237,2016,S08000020,"",Male,"",62
238,2016,S08000020,"",Female,"",17
239,2016,S08000020,"",Both Sexes,d,79
240,2016,S08000021,"",Male,"",100
241,2016,S08000021,"",Female,"",40
242,2016,S08000021,"",Both Sexes,d,140
243,2016,S08000022,"",Male,"",28
244,2016,S08000022,"",Female,"",15
245,2016,S08000022,"",Both Sexes,d,43
246,2016,S08000023,"",Male,"",68
247,2016,S08000023,"",Female,"",18
248,2016,S08000023,"",Both Sexes,d,86
249,2016,S08000024,"",Male,"",81
250,2016,S08000024,"",Female,"",38
251,2016,S08000024,"",Both Sexes,d,119
252,2016,S08000025,"",Male,"",2
253,2016,S08000025,"",Female,"",1
254,2016,S08000025,"",Both Sexes,d,3
255,2016,S08000027,"",Male,"",48
256,2016,S08000027,"",Female,"",26
257,2016,S08000027,"",Both Sexes,d,74
258,2016,S08000028,"",Male,"",1
259,2016,S08000028,"",Female,"",2
260,2016,S08000028,"",Both Sexes,d,3
261,2016,S92000003,d,Male,d,517
262,2016,S92000003,d,Female,d,211
263,2016,S92000003,d,Both Sexes,d,728
264,2017,S08000015,"",Male,"",37
265,2017,S08000015,"",Female,"",9
266,2017,S08000015,"",Both Sexes,d,46
267,2017,S08000016,"",Male,"",7
268,2017,S08000016,"",Female,"",4
269,2017,S08000016,"",Both Sexes,d,11
270,2017,S08000017,"",Male,"",9
271,2017,S08000017,"",Female,"",7
272,2017,S08000017,"",Both Sexes,d,16
273,2017,S08000018,"",Male,"",39
274,2017,S08000018,"",Female,"",13
275,2017,S08000018,"",Both Sexes,d,52
276,2017,S08000019,"",Male,"",28
277,2017,S08000019,"",Female,"",14
278,2017,S08000019,"",Both Sexes,d,42
279,2017,S08000020,"",Male,"",49
280,2017,S08000020,"",Female,"",14
281,2017,S08000020,"",Both Sexes,d,63
282,2017,S08000021,"",Male,"",113
283,2017,S08000021,"",Female,"",34
284,2017,S08000021,"",Both Sexes,d,147
285,2017,S08000022,"",Male,"",44
286,2017,S08000022,"",Female,"",14
287,2017,S08000022,"",Both Sexes,d,58
288,2017,S08000023,"",Male,"",59
289,2017,S08000023,"",Female,"",14
290,2017,S08000023,"",Both Sexes,d,73
291,2017,S08000024,"",Male,"",74
292,2017,S08000024,"",Female,"",25
293,2017,S08000024,"",Both Sexes,d,99
294,2017,S08000025,"",Male,"",4
295,2017,S08000025,"",Female,"",1
296,2017,S08000025,"",Both Sexes,d,5
297,2017,S08000027,"",Male,"",53
298,2017,S08000027,"",Female,"",9
299,2017,S08000027,"",Both Sexes,d,62
300,2017,S08000028,"",Male,"",6
301,2017,S08000028,"",Both Sexes,d,6
302,2017,S92000003,d,Male,d,522
303,2017,S92000003,d,Female,d,158
304,2017,S92000003,d,Both Sexes,d,680
305,2018,S08000015,"",Male,"",51
306,2018,S08000015,"",Female,"",14
307,2018,S08000015,"",Both Sexes,d,65
308,2018,S08000016,"",Male,"",10
309,2018,S08000016,"",Female,"",8
310,2018,S08000016,"",Both Sexes,d,18
311,2018,S08000017,"",Male,"",15
312,2018,S08000017,"",Female,"",4
313,2018,S08000017,"",Both Sexes,d,19
314,2018,S08000018,"",Male,"",35
315,2018,S08000018,"",Female,"",9
316,2018,S08000018,"",Both Sexes,d,44
317,2018,S08000019,"",Male,"",26
318,2018,S08000019,"",Female,"",14
319,2018,S08000019,"",Both Sexes,d,40
320,2018,S08000020,"",Male,"",59
321,2018,S08000020,"",Female,"",18
322,2018,S08000020,"",Both Sexes,d,77
323,2018,S08000021,"",Male,"",107
324,2018,S08000021,"",Female,"",41
325,2018,S08000021,"",Both Sexes,d,148
326,2018,S08000022,"",Male,"",52
327,2018,S08000022,"",Female,"",21
328,2018,S08000022,"",Both Sexes,d,73
329,2018,S08000023,"",Male,"",75
330,2018,S08000023,"",Female,"",23
331,2018,S08000023,"",Both Sexes,d,98
332,2018,S08000024,"",Male,"",83
333,2018,S08000024,"",Female,"",33
334,2018,S08000024,"",Both Sexes,d,116
335,2018,S08000025,"",Male,"",6
336,2018,S08000025,"",Both Sexes,d,6
337,2018,S08000026,"",Male,"",1
338,2018,S08000026,"",Female,"",2
339,2018,S08000026,"",Both Sexes,d,3
340,2018,S08000027,"",Male,"",56
341,2018,S08000027,"",Female,"",14
342,2018,S08000027,"",Both Sexes,d,70
343,2018,S08000028,"",Male,"",5
344,2018,S08000028,"",Female,"",2
345,2018,S08000028,"",Both Sexes,d,7
346,2018,S92000003,d,Male,d,581
347,2018,S92000003,d,Female,d,203
348,2018,S92000003,d,Both Sexes,d,784
349,2019,S08000015,"",Male,"",53
350,2019,S08000015,"",Female,"",10
351,2019,S08000015,"",Both Sexes,d,63
352,2019,S08000016,"",Male,"",9
353,2019,S08000016,"",Female,"",4
354,2019,S08000016,"",Both Sexes,d,13
355,2019,S08000017,"",Male,"",8
356,2019,S08000017,"",Female,"",4
